utility_median_emply_inc_job, fin_insur_num_jobs_000, pro_tech_servc_median_emply_inc_job, tot_num_jobs_000, whsl_trade_median_emply_inc_job, pro_tech_servc_num_jobs_000, agri_frsty_fish_median_emply_inc_job, admt_supp_num_jobs_000, arts_rec_num_jobs_000, oth_median_emply_inc_job, tot_median_emply_inc_job, cons_median_emply_inc_job, rtl_trade_num_jobs_000, fin_insur_median_emply_inc_job, agri_frsty_fish_num_jobs_000, hlth_care_soc_asst_num_jobs_000, pub_admt_safety_num_jobs_000, utility_num_jobs_000, info_med_telecommunications_num_jobs_000, whsl_trade_num_jobs_000, trns_pstl_whse_num_jobs_000, mining_num_jobs_000, accom_food_median_emply_inc_job, sa2_name, accom_food_num_jobs_000, trns_pstl_whse_median_emply_inc_job, admt_supp_median_emply_inc_job, rent_hiring_rlst_median_emply_inc_job, hlth_care_soc_asst_median_emply_inc_job, mining_median_emply_inc_job, arts_rec_median_emply_inc_job, edu_training_median_emply_inc_job, rtl_trade_median_emply_inc_job, info_med_telecommunications_median_emply_inc_job, cons_num_jobs_000, sa2_main16, manu_num_jobs_000, pub_admt_safety_median_emply_inc_job, oth_num_jobs_000, manu_median_emply_inc_job, rent_hiring_rlst_num_jobs_000, edu_training_num_jobs_000
87290.0,0.115,41105.0,4.615,38542.0,0.266,3385.0,0.226,0.041,21969.0,27530.5,33140.0,0.42,28420.0,0.259,0.463,0.774,0.116,0.049,0.112,0.19,null,7257.0,"Yass",0.435,46334.5,13172.0,13379.0,29707.0,null,5972.0,26927.0,15595.0,61416.0,0.324,101061541,0.082,68824.0,0.126,31428.0,0.063,0.373
60112.0,0.158,57825.0,7.876,35481.0,0.67,2532.0,0.36,0.153,27966.0,30750.0,35365.0,0.432,30201.0,0.68,0.523,1.711,0.103,0.117,0.166,0.215,0.028,5396.0,"Yass Region",0.544,35007.5,15368.0,33846.0,29809.0,51745.0,9964.0,27465.5,12319.5,63551.5,0.504,101061542,0.199,77052.5,0.227,27666.0,0.112,0.559
77984.5,0.246,25614.0,6.988,38795.5,0.233,3610.5,0.337,0.071,15990.0,17520.0,25750.0,0.807,29423.5,1.098,0.695,0.34,0.036,0.046,0.287,0.262,0.041,6088.0,"Young",0.443,29768.0,6521.0,14604.0,36888.0,57971.0,3600.0,29660.0,19943.0,36461.0,0.427,101061543,0.416,46680.0,0.193,22365.0,0.121,0.495
78585.0,0.197,22309.0,4.349,34999.0,0.14,3287.5,0.183,null,15045.0,15506.0,21000.0,0.302,29724.5,1.046,0.418,0.357,0.03,0.02,0.13,0.196,0.044,5224.5,"Young Region",0.222,25480.0,8764.0,10600.0,33618.0,51657.0,null,24467.5,15711.0,20002.0,0.194,101061544,0.18,41436.0,0.082,28419.0,0.046,0.324
69738.0,0.197,34417.0,5.057,60978.0,0.378,null,0.322,0.079,18015.0,26570.0,33047.0,0.441,42430.0,null,0.739,0.343,0.043,0.123,0.182,0.11,0.023,7171.0,"Avoca Beach - Copacabana",0.443,47313.0,12772.0,28422.0,40747.5,69522.0,10751.0,37133.0,14018.5,21453.5,0.389,102011028,0.18,54126.0,0.153,49637.5,0.131,0.549
78264.0,0.28,27681.0,6.663,47449.0,0.59,8839.0,0.452,0.097,20397.0,26413.0,30000.0,0.59,47618.0,0.028,0.875,0.409,0.06,0.137,0.229,0.235,0.029,7437.5,"Box Head - MacMasters Beach",0.557,58168.0,19077.5,30278.0,32820.0,71876.0,10411.0,26824.5,16701.0,56774.0,0.53,102011029,0.288,55673.0,0.22,41523.0,0.148,0.627
79685.0,0.098,32356.0,3.006,24910.0,0.186,12425.0,0.191,0.12,18304.0,25000.0,32312.5,0.222,40463.0,0.22,0.263,0.161,0.022,0.043,0.162,0.102,null,10572.0,"Calga - Kulnura",0.142,46943.0,12568.5,26320.0,29063.0,null,10476.0,15770.0,18088.5,35350.0,0.303,102011030,0.193,54906.0,0.087,43105.5,0.083,0.228
90121.5,0.439,27000.0,8.437,45717.0,0.657,13392.0,0.623,0.137,20172.0,26238.0,35331.0,0.897,25499.5,0.041,1.207,0.516,0.063,0.178,0.332,0.196,null,8323.5,"Erina - Green Point",0.698,58902.5,12297.5,32000.0,37720.5,null,10544.0,34024.0,16309.0,35000.0,0.553,102011031,0.424,48129.0,0.276,45787.5,0.204,0.712
69703.5,0.548,37089.0,12.909,33158.5,0.837,13315.0,1.136,0.215,18987.0,29227.0,34778.0,1.373,40465.0,0.073,2.13,0.763,0.109,0.319,0.458,0.395,0.028,9082.5,"Gosford - Springfield",1.01,55655.0,14382.0,29718.5,40633.0,82827.5,7031.0,30435.5,22863.0,39848.5,0.772,102011032,0.692,55354.5,0.406,41804.0,0.254,0.98
79606.5,0.186,32894.0,4.631,49201.5,0.278,9436.5,0.362,0.057,22195.5,31100.0,37000.0,0.489,40469.0,0.025,0.595,0.317,0.055,0.119,0.217,0.191,null,8255.5,"Kariong",0.362,60198.0,12168.0,24690.0,37820.0,null,7900.0,27216.0,24030.0,40000.0,0.412,102011033,0.328,61806.5,0.153,47821.0,0.076,0.268
