emp_total_female_45_64, total_male_15_64, employment_female, employment_female_25_44, emp_total_male_65up, employment_male_rate, employment_female_25_44_rate, employment_male_15_24, sa2_name16, employment_male, employment_female_45_64_rate, emp_total_person_15up, employment_male_65up, emp_total_female_15up, emp_total_female_25_44, emp_total_male_15up, employment_female_rate, employment_female_15_24_rate, emp_total_male_15_24, total_person_15_64, employment_male_45_64_rate, employment_male_25_44_rate, emp_total_male_25_44, employment_rate, employment_male_25_44, employment_female_65up, employment_female_45_64, employment_female_15_24, employment_male_45_64, total_female_15_64, employment_total, employment_female_65up_rate, emp_total_female_15_24, emp_total_female_65up, employment_male_65up_rate, sa2_code16, employment_male_15_24_rate, emp_total_male_45_64
2800,7489,3691,1636,1526,67.685936,50.66584,862,"Greenacre - Mount Lewis",5069,43.25,18464,168,9449,3229,9015,47.16933,42.316257,1930,15314,66.429375,78.4083,2890,57.20256,2266,84,1211,760,1773,7825,8760,5.172414,1796,1624,11.009174,"119011357",44.66321,2669
0,0,0,0,0,0.0,0.0,0,"Rookwood Cemetery",0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,"125011475",0.0,0
1764,4027,2834,1107,991,79.76161,70.64455,457,"Kilmore - Broadford",3212,66.72336,10345,170,5327,1567,5018,67.945335,53.45238,910,8198,79.753525,86.76575,1413,73.749695,1226,101,1177,449,1359,4171,6046,8.737024,840,1156,17.15439,"204011056",50.21978,1704
1208,2338,1887,636,965,86.74081,79.8995,249,"Mansfield (Vic.)",2028,74.17219,6632,232,3329,796,3303,79.58667,58.310627,406,4709,73.84744,90.12179,739,83.13867,666,141,896,214,881,2371,3915,14.718163,367,958,24.04145,"204011057",61.330048,1193
575,1079,822,290,456,87.39574,77.747986,103,"Nagambie",943,66.95652,3093,91,1558,373,1535,73.72197,57.48503,168,2194,78.315414,88.38527,353,80.44667,312,51,385,96,437,1115,1765,11.512415,167,443,19.95614,"204011058",61.309525,558
841,1798,1170,383,537,72.080086,63.727123,195,"Seymour",1296,65.27943,4744,71,2409,601,2335,64.81995,49.86226,427,3603,70.12658,81.92771,581,68.44296,476,57,549,181,554,1805,2466,9.437086,363,604,13.221601,"204011059",45.667446,790
516,1482,819,314,304,89.74359,63.434345,270,"Seymour Region",1330,69.76744,3216,100,1430,495,1786,68.93939,57.062145,356,2670,79.333336,92.015205,526,80.48689,484,44,360,101,476,1188,2149,18.181818,177,242,32.894737,"204011060",75.8427,600
31,57,31,11,4,56.14035,50.0,3,"Upper Yarra Valley",32,64.51613,138,0,77,22,61,53.448277,0.0,11,115,52.77778,100.0,10,54.782608,10,0,20,0,19,58,63,0.0,5,19,0.0,"204011061",27.272728,36
2210,5033,3559,1531,1235,79.65428,74.46498,504,"Padstow",4009,64.84163,13062,192,6794,2056,6268,67.71309,51.71717,1016,10289,77.00507,87.73815,2047,73.55428,1796,83,1433,512,1517,5256,7568,5.396619,990,1538,15.546558,"119011358",49.6063,1970
562,1090,835,302,391,84.40367,77.237854,122,"Rutherglen",920,70.46263,3016,81,1535,391,1481,74.28825,52.046783,202,2214,75.2363,88.85794,359,79.268295,319,48,396,89,398,1124,1755,11.678832,171,411,20.716112,"204021065",60.396038,529
2383,4894,3930,1506,1623,80.42501,73.57108,579,"Wangaratta",3936,69.156525,14102,204,7585,2047,6517,72.81823,65.253365,941,10291,75.71023,84.410645,1841,76.43572,1554,145,1648,631,1599,5397,7866,6.6270566,967,2188,12.569316,"204021066",61.53029,2112
3235,7831,5857,2547,1733,81.228455,76.73998,882,"Panania - Milperra - Picnic Point",6361,67.51159,19694,260,10130,3319,9564,72.228386,60.321545,1602,15940,78.64353,89.11409,3059,76.64994,2726,188,2184,938,2493,8109,12218,9.302325,1555,2021,15.002885,"119011359",55.05618,3170
1994,4405,3163,1296,1373,82.22475,69.60258,505,"Drouin",3622,64.59378,12010,234,6232,1862,5778,67.599915,55.650063,886,9084,76.81564,87.21805,1729,74.691765,1508,121,1288,458,1375,4679,6785,7.7913713,823,1553,17.04297,"205011076",56.99774,1790
929,1746,1262,395,577,85.62428,74.24812,177,"Mount Baw Baw Region",1495,67.27664,4599,168,2276,532,2323,72.487076,53.92857,321,3487,77.25322,87.22109,493,79.0651,430,91,625,151,720,1741,2757,17.009346,280,535,29.116117,"205011077",55.140186,932
1033,2114,1650,668,660,84.578995,76.95853,228,"Trafalgar (Vic.)",1788,64.956436,5721,142,2947,868,2774,73.00885,63.231197,389,4374,76.89938,89.08122,751,78.60082,669,84,671,227,749,2260,3438,12.227075,359,687,21.515152,"205011078",58.611824,974
2516,5126,4004,1481,1615,84.82247,72.10321,671,"Warragul",4348,69.0779,14254,318,7513,2054,6741,70.84218,56.654343,1094,10778,80.453514,86.75424,1827,77.49119,1585,172,1738,613,1774,5652,8352,9.242343,1082,1861,19.690403,"205011079",61.334553,2205
0,0,0,0,0,0.0,0.0,0,"Alps - East",0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,"205021080",0.0,0
1853,3645,2848,1035,1407,79.368996,70.60027,424,"Bairnsdale",2893,66.81058,10874,204,5822,1466,5052,69.83816,58.89328,734,7723,72.757256,83.29749,1395,74.336395,1162,128,1238,447,1103,4078,5741,7.3394494,759,1744,14.498934,"205021081",57.765667,1516
1155,2148,1629,520,892,86.359406,72.22222,214,"Bruthen - Omeo",1855,69.69697,5924,223,2884,720,3040,74.485596,57.371796,368,4335,75.62057,86.65644,652,80.36909,565,125,805,179,853,2187,3484,17.934002,312,697,25.0,"205021082",58.152172,1128
2035,4950,3463,1552,1022,77.89899,70.19448,484,"Revesby",3856,62.50614,12494,145,6522,2211,5972,66.32829,55.897434,1005,10171,75.79004,87.19923,2078,71.959496,1812,94,1272,545,1415,5221,7319,7.225211,975,1301,14.187867,"119011360",48.159203,1867
974,1663,1116,338,856,71.437164,71.1579,95,"Orbost",1188,61.909653,4959,154,2440,475,2519,66.786354,40.09009,242,3334,62.128967,74.77477,444,69.10618,332,86,603,89,607,1671,2304,11.183355,222,769,17.990654,"205021085",39.2562,977
914,1417,1025,323,1128,74.80593,72.421524,127,"Paynesville",1060,57.1116,5150,120,2605,446,2545,66.42903,53.005463,223,2960,61.945812,81.15183,382,70.439186,310,83,522,97,503,1543,2085,7.8154426,183,1062,10.638298,"205021086",56.950672,812
1263,2271,1667,520,1084,81.19771,74.498566,203,"Foster",1844,64.92478,6739,229,3384,698,3355,73.306946,55.91054,366,4545,68.09524,85.89147,645,77.249725,554,152,820,175,858,2274,3511,13.693694,313,1110,21.125462,"205031087",55.46448,1260
2315,6264,3241,1507,1241,68.48659,55.670483,633,"Yagoona - Birrong",4290,48.855293,15238,159,7733,2707,7505,51.241108,41.059093,1437,12589,67.45822,76.9291,2553,59.822067,1964,68,1131,535,1534,6325,7531,4.8295455,1303,1408,12.812248,"119011361",44.050106,2274
1074,3149,1518,704,479,69.41886,55.652172,292,"Berala",2186,50.55866,7031,56,3403,1265,3628,52.580532,41.240875,655,6036,69.27772,76.57181,1511,61.365143,1157,45,543,226,681,2887,3704,8.72093,548,516,11.691023,"125011585",44.580154,983
1355,2507,1899,639,831,84.12445,69.75983,242,"Korumburra",2109,66.56827,6925,191,3587,916,3338,70.489975,57.446808,437,5201,77.977165,85.30806,844,77.0621,720,115,902,243,956,2694,4008,12.877939,423,893,22.984356,"205031089",55.377575,1226
1481,2928,2257,802,1036,86.50956,73.04189,322,"Leongatha",2533,68.87238,8243,241,4279,1098,3964,73.37451,58.3501,578,6004,80.413895,88.46539,997,79.78014,882,145,1020,290,1088,3076,4790,12.053201,497,1203,23.262548,"205031090",55.709343,1353
1493,2593,1988,717,1226,79.52179,71.62837,204,"Phillip Island",2062,64.233086,8076,179,4257,1001,3819,69.48619,52.588554,376,5454,69.548874,85.00564,887,74.25742,754,119,959,193,925,2861,4050,8.524355,367,1396,14.600327,"205031091",54.255318,1330
1581,4921,2490,1275,727,70.148346,50.57517,442,"Bankstown - North",3452,45.5408,11623,89,5975,2521,5648,48.453007,43.00868,966,10060,65.2262,79.02183,2474,59.065605,1955,49,720,446,966,5139,5942,5.861244,1037,836,12.242091,"119011571",45.755695,1481
1749,4186,2796,1301,992,75.56139,69.202126,383,"Narwee - Beverly Hills",3163,55.688965,10930,120,5752,1880,5178,62.07815,50.057144,820,8690,73.57775,83.8565,1784,68.573074,1496,83,974,438,1164,4504,5959,6.650641,875,1248,12.096774,"119031370",46.707317,1582
2290,5849,3597,1721,1298,74.93589,66.91291,567,"Belmore - Belfield",4383,55.196507,14643,148,7496,2572,7147,60.241165,46.79892,1173,11820,71.91749,83.91663,2543,67.51269,2134,93,1264,519,1534,5971,7980,6.0983605,1109,1525,11.402157,"119021362",48.337597,2133
3524,10364,6130,3304,1685,73.726364,66.15939,902,"Canterbury (South) - Campsie",7641,51.333714,24374,191,12325,4994,12049,58.531464,47.36573,1995,20837,71.27595,82.72138,5093,66.089165,4213,91,1809,926,2335,10473,13771,4.913607,1955,1852,11.335312,"119021363",45.21303,3276
2957,6847,5042,2273,1945,82.255005,77.84247,651,"Kingsgrove (North) - Earlwood",5632,66.89212,18180,269,9388,2920,8792,71.044106,51.311474,1306,13944,81.27273,88.74955,2791,76.54906,2477,165,1978,626,2235,7097,10674,7.202095,1220,2291,13.830335,"119021364",49.84686,2750
1726,3952,3001,1220,941,82.059715,77.95527,456,"Oatley - Hurstville Grove",3243,69.640785,10041,173,5148,1565,4893,73.5359,59.113926,875,8033,82.05286,88.206894,1450,77.72937,1279,112,1202,467,1335,4081,6244,10.496719,790,1067,18.384697,"119031371",52.114285,1627
2272,5113,3908,1565,1601,84.607864,76.192795,623,"Peakhurst - Lugarno",4326,69.10211,14079,284,7365,2054,6714,73.15612,58.070866,1141,10455,82.07985,90.81408,1818,78.75658,1651,183,1570,590,1768,5342,8234,9.045971,1016,2023,17.738913,"119031372",54.601227,2154
3072,5623,4045,1431,2636,77.645386,69.941345,508,"Wonthaggi - Inverloch",4366,61.165363,17184,398,8925,2046,8259,67.40543,54.473385,924,11624,67.86343,82.454254,1858,72.35891,1532,254,1879,481,1928,6001,8411,8.68673,883,2924,15.098635,"205031093",54.978355,2841
1686,3364,2354,817,893,74.64328,67.97005,351,"Churchill",2511,61.803085,8648,170,4391,1202,4257,65.5893,56.348076,687,6953,71.53141,78.06789,1149,69.969795,897,100,1042,395,1093,3589,4865,12.468828,701,802,19.036955,"205041094",51.0917,1528
2149,4658,2921,1110,1465,67.90468,63.06818,542,"Moe - Newborough",3163,55.002327,12784,141,6661,1760,6123,60.078156,53.620148,1009,9520,62.469135,74.81527,1624,63.907562,1215,118,1182,511,1265,4862,6084,6.5591993,953,1799,9.624574,"205041095",53.716553,2025
1683,3750,2106,802,1232,63.093334,55.6172,360,"Morwell",2366,51.3369,10296,135,5314,1442,4982,54.306343,47.144753,782,7628,58.665035,68.38951,1335,58.626114,913,85,864,355,958,3878,4472,5.91922,753,1436,10.957792,"205041096",46.035805,1633
3218,7633,5788,2570,1764,80.086464,75.21217,889,"Traralgon",6113,64.60535,19789,264,10392,3417,9397,70.81855,62.678802,1505,15806,75.648705,86.03459,3122,75.29419,2686,175,2079,964,2274,8173,11901,7.8864355,1538,2219,14.965986,"205041097",59.069767,3006
633,1451,953,347,288,77.87733,67.50973,163,"Yallourn North - Glengarry",1130,66.824646,3411,47,1672,514,1739,67.63662,57.251907,276,2860,72.81977,86.036964,487,72.83217,419,33,423,150,501,1409,2083,12.547528,262,263,16.319445,"205041098",59.057972,688
8,10,8,0,3,100.0,0.0,0,"Alps - West",10,100.0,21,3,8,0,13,100.0,0.0,0,18,70.0,0.0,0,100.0,0,0,8,0,7,8,18,0.0,0,0,100.0,"205051099",0.0,10
628,1210,761,240,503,75.28925,72.289154,97,"Longford - Loch Sport",911,60.66879,3247,84,1534,332,1713,67.70463,55.487804,174,2334,63.10241,83.60215,372,71.63667,311,49,381,91,419,1124,1672,11.95122,164,410,16.6998,"205051100",55.747128,664
1882,3868,2870,1056,1216,82.34229,71.35135,452,"Maffra",3185,67.10946,10421,250,5337,1480,5084,71.1629,59.76155,762,7901,75.681816,85.51263,1346,76.63587,1151,150,1263,401,1332,4033,6055,11.503067,671,1304,20.55921,"205051101",59.317585,1760
554,1970,855,330,310,50.456852,74.1573,125,"Rosedale",994,67.68953,3722,96,1442,445,2280,72.70408,54.23729,303,3146,59.615383,37.336025,991,58.773045,370,54,375,96,403,1176,1849,20.300753,177,266,30.967741,"205051102",41.254124,676
1869,4020,2981,1231,1123,78.95522,70.26256,489,"Sale",3174,64.687,10928,149,5785,1752,5143,67.966255,58.169933,843,8406,73.54959,86.21347,1574,73.22151,1357,96,1209,445,1179,4386,6155,6.8620443,765,1399,13.268032,"205051103",58.00712,1603
824,1432,1023,303,665,77.93296,69.655174,110,"Yarram",1116,63.228157,4176,149,2079,435,2097,69.355934,51.851852,236,2907,68.46058,78.08564,397,73.58101,310,87,521,112,547,1475,2139,14.403974,216,604,22.406015,"205051104",46.61017,799
2111,6617,2870,1384,1051,66.67674,50.1631,711,"Punchbowl",4412,41.97063,15070,126,7402,2759,7668,45.218212,37.914692,1562,12964,63.573086,76.034485,2900,56.170937,2205,40,886,560,1370,6347,7282,3.791469,1477,1055,11.988583,"119021366",45.518566,2155
1427,3200,2706,1246,668,85.53125,79.820625,306,"Cheltenham - Highett (West)",2737,75.26279,8268,131,4400,1561,3868,77.73628,59.02637,566,6681,82.4575,92.01492,1340,81.46984,1233,95,1074,291,1067,3481,5443,10.337323,493,919,19.610779,"208011171",54.063602,1294
1598,4060,2554,1180,897,76.108376,65.591995,389,"Roselands",3090,58.385483,10178,116,5221,1799,4957,60.650677,48.15725,842,8271,74.949356,84.91652,1737,68.23843,1475,49,933,392,1110,4211,5644,4.8514853,814,1010,12.931995,"119021367",46.199524,1481
1295,5845,1784,913,666,66.5355,36.770035,472,"Lakemba",3889,43.243244,11839,51,5328,2483,6511,38.3491,30.549198,1092,10497,65.4054,73.26611,3273,54.044014,2398,44,560,267,968,4652,5673,6.508876,874,676,7.6576576,"119021573",43.223442,1480
810,3407,1318,730,380,68.53537,45.56804,299,"Wiley Park",2335,44.197533,7126,37,3339,1602,3787,44.243034,36.860672,677,6386,64.20188,77.31629,1878,57.20326,1452,21,358,209,547,2979,3653,5.8333335,567,360,9.736842,"119021574",44.165436,852
2628,8086,4803,2641,1221,70.603516,66.17389,777,"Hurstville",5709,51.636227,19158,153,9851,3991,9307,57.219444,40.338028,1906,16480,72.30971,80.27735,3894,63.786407,3126,89,1357,716,1653,8394,10512,6.108442,1775,1457,12.530712,"119031368",40.766003,2286
3035,7620,5804,2824,1379,82.414696,76.92727,803,"Mortdale - Penshurst",6280,66.88633,18855,236,9856,3671,8999,71.88506,58.991226,1448,15694,79.420395,89.26292,3446,76.99758,3076,143,2030,807,2165,8074,12084,8.024692,1368,1782,17.113852,"119031369",55.455803,2726
1446,3499,2005,986,800,67.33353,64.44444,291,"Riverwood",2356,47.02628,8868,75,4569,1530,4299,55.601776,45.079365,719,7105,59.70724,81.9838,1482,61.37931,1215,55,680,284,775,3606,4361,5.711319,630,963,9.375,"119031373",40.472878,1298
3014,7761,5286,2395,1586,76.832886,70.628136,858,"South Hurstville - Blakehurst",5963,64.06768,19343,298,9996,3391,9347,65.62383,45.575756,1856,15816,80.14842,82.46106,3210,71.124176,2647,208,1931,752,2160,8055,11249,10.716125,1650,1941,18.789408,"119031374",46.228447,2695
1102,3837,2670,1554,598,80.53166,73.92959,351,"Kogarah",3090,67.604355,8966,75,4531,2102,4435,69.422775,50.15576,678,7683,76.24148,88.22702,2132,74.97071,1881,49,745,322,783,3846,5760,7.1532845,642,685,12.541806,"119041378",51.769913,1027
1721,7706,5053,3194,905,77.082794,74.45222,739,"Arncliffe - Bardwell Valley",5940,58.28007,17227,132,8616,4290,8611,66.635895,48.85496,1508,15289,73.98609,84.79427,4472,71.90137,3792,88,1003,768,1277,7583,10993,8.518877,1572,1033,14.585635,"119041375",49.005306,1726
2974,8351,5648,2826,1608,78.55347,71.653145,817,"Bexley",6560,62.844654,20294,216,10335,3944,9959,66.548836,51.943913,1658,16838,77.50363,86.13157,3937,72.50267,3391,138,1869,815,2136,8487,12208,7.4675326,1569,1848,13.432836,"119041376",49.276237,2756
1594,3743,2740,1223,1021,80.41678,76.19938,345,"Kingsgrove (South) - Bardwell Park",3010,65.74655,9889,155,5125,1605,4764,69.490234,51.344086,738,7686,79.62185,87.06405,1577,74.81135,1373,87,1048,382,1137,3943,5750,7.360406,744,1182,15.181195,"119041377",46.747967,1428
597,1832,1697,976,462,91.64847,85.83993,128,"South Yarra - West",1679,70.68677,4932,181,2638,1137,2294,80.65589,53.243244,295,3936,87.17949,90.097084,1030,85.772354,928,102,422,197,442,2104,3376,19.101124,370,534,39.17749,"206041125",43.38983,507
2595,5158,4123,1526,1154,83.67584,74.69408,547,"Hampton",4316,71.79191,13295,271,6983,2043,6312,73.941895,57.782516,1094,10734,83.52393,89.606575,1703,78.61934,1526,192,1863,542,1972,5576,8439,13.646055,938,1407,23.483536,"208011172",50.0,2361
3128,8115,7407,3967,1215,87.0117,85.79152,684,"Leichhardt - Annandale",7061,77.20588,19842,270,10512,4624,9330,82.89871,65.59594,1165,17050,81.00539,92.46098,4165,84.85631,3851,249,2415,776,2256,8935,14468,15.789474,1183,1577,22.222221,"120021388",58.71245,2785
2196,5235,4266,1913,1441,85.76886,80.4796,563,"Miranda - Yowie Bay",4490,72.22222,14170,216,7494,2377,6676,77.33865,65.64157,972,10751,81.459564,92.12528,2235,81.44359,2059,148,1586,619,1652,5516,8756,7.4823055,943,1978,14.989591,"128011530",57.92181,2028
1928,5282,3689,1826,961,80.1401,74.89745,510,"Kogarah Bay - Carlton - Allawah",4233,66.13071,12633,172,6390,2438,6243,69.78812,53.913044,1045,10568,78.167854,88.069595,2414,74.96215,2126,92,1275,496,1425,5286,7922,8.333333,920,1104,17.898024,"119041379",48.80383,1823
1948,4266,3384,1362,1619,86.3338,79.18604,452,"Sylvania - Taren Point",3683,69.09651,12559,281,6674,1720,5885,75.23344,60.0,812,8764,81.15155,90.26659,1613,80.636696,1456,178,1346,498,1494,4498,7067,8.180147,830,2176,17.356392,"128011531",55.665024,1841
1678,4041,3160,1542,1092,84.013855,76.37444,344,"Monterey - Brighton-le-Sands - Kyeemagh",3395,67.93802,10804,184,5671,2019,5133,72.195564,54.705883,631,8418,78.91791,88.679245,1802,77.86885,1598,106,1140,372,1269,4377,6555,8.191654,680,1294,16.849817,"119041380",54.51664,1608
1801,7077,4462,2614,1061,79.53935,73.90444,711,"Rockdale - Banksia",5629,60.74403,15891,146,7753,3537,8138,68.142944,56.03306,1284,13625,74.585,85.739,4046,74.062386,3469,76,1094,678,1303,6548,10091,6.307054,1210,1205,13.760603,"119041381",55.373833,1747
2192,4387,3686,1568,1423,86.30043,78.32168,377,"Sans Souci - Ramsgate",3786,70.84854,12505,261,6695,2002,5810,74.96441,54.910095,686,9304,80.218636,90.2809,1780,80.30955,1607,168,1553,397,1541,4917,7472,9.448819,723,1778,18.341532,"119041382",54.95627,1921
3012,6413,5291,2230,1733,86.043976,78.57646,563,"Concord - Mortlake - Cabarita",5518,71.38114,17177,391,9031,2838,8146,75.65056,59.17832,1107,13407,81.57695,90.4048,2668,80.62206,2412,234,2150,677,2152,6994,10809,11.487481,1144,2037,22.56203,"120011383",50.858173,2638
2191,8922,5850,3670,862,74.501236,71.749756,718,"Concord West - North Strathfield",6647,60.93108,19974,163,10190,5115,9784,63.670006,38.73539,1842,18110,77.11777,83.06765,5144,69.00607,4273,116,1335,729,1493,9188,12497,11.576846,1882,1002,18.909513,"120011384",38.97937,1936
2354,5194,4779,2299,1303,91.933,83.84391,442,"Drummoyne - Rodd Point",4775,74.76636,14094,327,7597,2742,6497,81.24787,63.104324,746,11076,84.90099,94.3575,2428,86.258575,2291,224,1760,496,1715,5882,9554,13.061225,786,1715,25.095932,"120011385",59.24933,2020
2694,5876,5209,2542,1456,88.0531,82.34532,459,"Five Dock - Abbotsford",5174,73.27394,15840,311,8508,3087,7332,78.90033,59.68331,842,12478,81.665955,92.49538,2705,83.21045,2502,203,1974,490,1902,6602,10383,10.650578,821,1906,21.35989,"120011386",54.513065,2329
2150,4571,4214,2043,952,90.9429,83.72951,297,"Balmain",4157,74.27907,11763,316,6240,2440,5523,81.920685,60.108303,521,9715,82.15915,92.58546,2077,86.165726,1923,241,1597,333,1621,5144,8371,21.989052,554,1096,33.193275,"120021387",57.005756,1973
2189,9235,7618,4808,1059,81.147804,84.55856,911,"Brunswick",7494,70.53449,21328,162,11034,5686,10294,78.869446,63.67713,1586,18894,74.770424,87.34767,5580,79.98306,4874,130,1544,1136,1547,9659,15112,9.454545,1784,1375,15.29745,"206011105",57.4401,2069
2530,8484,5867,3293,1411,78.83074,75.44101,825,"Ashfield",6688,64.78261,20031,204,10136,4365,9895,69.895164,53.70247,1613,16878,76.53277,85.41944,4506,74.38677,3849,130,1639,805,1810,8394,12555,7.4626865,1499,1742,14.457831,"120031390",51.14693,2365
1835,4259,3974,2088,634,87.861,85.08557,278,"Lilyfield - Rozelle",3742,76.67575,10503,156,5610,2454,4893,82.77442,65.234375,473,9060,80.46972,92.52767,2168,85.165565,2006,145,1407,334,1302,4801,7716,17.923363,512,809,24.605679,"120021389",58.773785,1618
922,3861,3472,2242,411,82.41388,85.08539,330,"Brunswick East",3182,72.66811,9149,62,4877,2635,4272,80.110756,64.73617,598,8195,77.447334,88.15147,2456,81.195854,2165,57,670,503,625,4334,6654,10.497237,777,543,15.085158,"206011106",55.183945,807
2671,8370,5520,2869,1401,69.42652,70.83951,780,"Burwood - Croydon",5811,62.14901,20510,209,10739,4050,9771,60.826447,36.321156,2096,17445,73.53668,78.9501,3848,64.952705,3038,136,1660,855,1784,9075,11331,8.173077,2354,1664,14.917915,"120031391",37.21374,2426
1245,3058,2366,1064,568,81.066055,79.166664,283,"Pascoe Vale South",2479,71.80723,7520,81,3894,1344,3626,75.06345,60.035522,583,6210,81.23967,89.48617,1265,78.019325,1132,70,894,338,983,3152,4845,9.433962,563,742,14.260564,"206011109",48.542023,1210
1336,6080,3434,2169,424,77.56579,68.639244,592,"Homebush",4716,56.287426,12420,81,5916,3160,6504,63.136604,50.4772,1195,11519,73.5697,85.89462,3644,70.75267,3130,37,752,476,913,5439,8150,7.7568135,943,477,19.103773,"120031396",49.53975,1241
1352,3301,2588,1256,672,82.79309,81.55844,322,"Canterbury (North) - Ashbury",2733,72.04142,8202,113,4229,1540,3973,75.014496,51.792114,605,6751,82.032524,87.92633,1466,78.817955,1289,69,974,289,1009,3450,5321,8.85751,558,779,16.815475,"120031392",53.22314,1230
564,1995,1137,548,403,65.51379,65.2381,229,"Macgregor (Qld)",1307,59.574467,4928,71,2530,840,2398,54.98066,31.77711,591,4063,70.33195,72.451195,922,60.152596,668,42,336,211,339,2068,2444,9.090909,664,462,17.617867,"303031061",38.747887,482
2218,5227,4108,1867,1157,80.466805,76.76809,530,"Croydon Park - Enfield",4206,68.530205,13618,206,7234,2432,6384,72.387665,55.121952,1020,10902,79.78506,84.82024,2253,76.26124,1911,156,1520,565,1559,5675,8314,10.006414,1025,1559,17.804667,"120031393",51.960785,1954
810,4318,2570,1619,259,77.09588,69.09944,270,"Docklands",3329,66.54321,8893,118,4316,2343,4577,62.576088,36.68763,837,8425,83.21343,84.88855,2647,70.01781,2247,62,539,350,694,4107,5899,29.665071,954,209,45.559845,"206041118",32.258064,834
1728,4209,3520,1720,865,84.58066,83.739044,402,"Haberfield - Summer Hill",3560,76.21528,10554,138,5480,2054,5074,79.60199,59.84375,713,8631,82.641045,89.59108,1883,82.02989,1687,100,1317,383,1333,4422,7080,9.451796,640,1058,15.953757,"120031395",56.381485,1613
581,1598,1512,860,370,94.680855,87.93456,112,"East Melbourne",1513,72.11704,4135,160,2167,978,1968,85.81158,71.92118,177,3360,81.66023,90.58693,903,90.02976,818,87,419,146,423,1762,3025,21.481482,203,405,43.243244,"206041119",63.276836,518
2094,5819,2760,1179,1035,62.330296,52.988766,530,"Chester Hill - Sefton",3627,48.7106,13674,106,6820,2225,6854,49.524494,41.148327,1333,11392,65.54307,67.702126,2350,56.06566,1591,45,1020,516,1400,5573,6387,3.6086607,1254,1247,10.241546,"125031479",39.75994,2136
1628,4703,2005,918,955,60.535828,47.466393,444,"Fairfield - East",2847,40.110565,11356,89,5698,1934,5658,43.52073,37.894737,1063,9310,58.62857,68.14815,1890,52.116005,1288,38,653,396,1026,4607,4852,3.4830432,1045,1091,9.319372,"125031480",41.76858,1750
438,1149,839,353,200,79.1993,71.31313,136,"Strathfield South",910,70.091324,2774,42,1425,495,1349,70.622894,60.784313,254,2337,77.77778,84.96994,499,74.83954,424,24,307,155,308,1188,1749,10.126582,255,237,21.0,"120031576",53.54331,396
2624,8918,5602,2738,1376,78.649925,71.525604,1084,"Strathfield",7014,63.567074,20583,324,10289,3828,10294,65.66639,47.61905,2173,17449,80.726494,84.381386,4405,72.30214,3717,206,1668,990,1889,8531,12616,11.717861,2079,1758,23.54651,"120031575",49.884953,2340
1951,7212,3412,1782,894,67.58181,55.98492,751,"Granville - Clyde",4874,48.4367,15464,115,7358,3183,8106,52.85825,47.53974,1531,13667,63.194443,74.59754,3665,60.62779,2734,57,945,628,1274,6455,8286,6.3122926,1321,903,12.863535,"125031481",49.052906,2016
2849,7694,5622,2709,1860,82.49285,72.881355,781,"Greystanes - Pemulwuy",6347,65.005264,19603,253,10049,3717,9554,70.01245,59.153004,1431,15724,79.65243,88.91745,3501,76.11931,3113,195,1852,866,2200,8030,11969,9.658247,1464,2019,13.602151,"125031482",54.577217,2762
1925,6355,2553,1266,958,60.346184,45.05338,628,"Guildford - South Granville",3835,37.402596,14499,78,7186,2810,7313,41.54597,37.375885,1508,12500,55.42916,70.61449,2913,51.104,2057,40,720,527,1072,6145,6388,3.8424592,1410,1041,8.141962,"125031483",41.64456,1934
279,754,619,320,162,82.49337,86.25337,80,"Chifley",622,73.83513,1869,19,953,371,916,82.09549,69.23077,133,1508,74.4186,91.18457,363,82.294426,331,21,206,72,192,754,1241,10.552764,104,199,11.728395,"801091099",60.150375,258
1663,3602,2995,1123,766,88.201,82.21084,437,"Berowra - Brooklyn - Cowan",3177,80.45701,8874,162,4506,1366,4368,81.09938,63.403614,721,7295,86.19613,93.59375,1280,84.605896,1198,113,1338,421,1380,3693,6172,13.899139,664,813,21.148825,"121021404",60.610264,1601
2174,6433,3445,1644,1038,68.95694,56.01363,691,"Guildford West - Merrylands West",4436,52.483902,15192,128,7721,2935,7471,53.443996,44.801796,1453,12879,68.14634,75.76792,2930,61.19264,2220,61,1141,599,1397,6446,7881,4.7843137,1337,1275,12.331407,"125031484",47.556778,2050
1248,4010,2892,1723,477,83.49127,71.08086,310,"Hornsby - East",3348,62.900642,9348,72,4861,2424,4487,68.17539,55.964912,568,8252,78.163994,90.043106,2320,75.618034,2089,65,785,319,877,4242,6240,10.500808,570,619,15.094339,"121021577",54.577465,1122
3009,8970,6530,3772,1418,78.952065,71.46646,639,"Chatswood (East) - Artarmon",7082,58.65736,22301,291,11913,5278,10388,64.82033,44.54393,1648,19044,77.71203,87.3616,4787,71.47658,4182,197,1765,796,1970,10074,13612,10.712343,1787,1839,20.521862,"121011398",38.774273,2535
2885,6046,4875,1750,1552,85.77572,78.02051,684,"Pennant Hills - Cheltenham",5186,72.40901,15899,379,8301,2243,7598,74.95387,57.485466,1333,12550,84.08132,91.69041,2106,80.16733,1931,245,2089,791,2192,6504,10061,13.633834,1376,1797,24.420103,"126011496",51.312828,2607
