emp_total_female_45_64, total_male_15_64, employment_female, employment_female_25_44, emp_total_male_65up, employment_male_rate, employment_female_25_44_rate, employment_male_15_24, sa2_name16, employment_male, employment_female_45_64_rate, emp_total_person_15up, employment_male_65up, emp_total_female_15up, emp_total_female_25_44, emp_total_male_15up, employment_female_rate, employment_female_15_24_rate, emp_total_male_15_24, total_person_15_64, employment_male_45_64_rate, employment_male_25_44_rate, emp_total_male_25_44, employment_rate, employment_male_25_44, employment_female_65up, employment_female_45_64, employment_female_15_24, employment_male_45_64, total_female_15_64, employment_total, employment_female_65up_rate, emp_total_female_15_24, emp_total_female_65up, employment_male_65up_rate, sa2_code16, employment_male_15_24_rate, emp_total_male_45_64
880,2905,1953,1010,434,76.316696,69.896194,363,"Zillmere",2217,63.522728,6878,49,3539,1445,3339,67.414566,60.48951,601,5802,66.90647,84.82993,1470,71.871765,1247,38,559,346,558,2897,4170,5.919003,572,642,11.290322,"302041046",60.399334,834
1170,3211,2000,976,291,73.65307,67.68377,317,"Cairnlea",2365,58.88889,7128,48,3626,1442,3502,60.078102,44.351463,745,6540,76.44991,85.09036,1328,66.74312,1130,17,689,318,870,3329,4365,5.7239056,717,297,16.494844,"213011329",42.550335,1138
0,0,0,0,0,0.0,0.0,0,"Cape Conway",0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,"312031360",0.0,0
1128,2371,1732,657,656,83.93083,76.041664,233,"Proserpine",1990,69.23759,6005,144,2978,864,3027,73.54565,57.575756,387,4726,77.307365,87.1731,803,78.75582,700,85,781,209,913,2355,3722,13.64366,363,623,21.95122,"312031361",60.20672,1181
1929,4204,2667,1106,998,76.022835,68.18742,483,"Keilor Downs",3196,55.469154,10543,133,5341,1622,5202,61.085663,52.63804,916,8570,74.29964,82.62454,1646,68.41307,1360,62,1070,429,1220,4366,5863,6.3589745,815,975,13.326653,"213011332",52.72926,1642
2484,8108,4865,2849,1099,74.23532,64.632484,672,"Deer Park - Derrimut",6019,51.650562,18689,117,9482,4408,9207,58.207706,45.15689,1521,16466,71.00592,84.103294,4221,66.099846,3550,71,1283,662,1680,8358,10884,6.316726,1466,1124,10.646042,"213011330",44.18146,2366
2675,3953,2621,766,3200,66.88591,65.08071,350,"Bribie Island",2644,50.317757,15072,217,7919,1177,7153,59.245026,59.44056,648,8377,57.93686,73.295456,1056,62.850662,774,169,1346,340,1303,4424,5265,4.8354793,572,3495,6.78125,"313011363",54.012344,2249
1755,4297,2138,995,896,65.41773,54.58036,385,"Kings Park (Vic.)",2811,43.646725,10533,117,5340,1823,5193,48.546776,37.893463,915,8701,61.623615,74.43053,1756,56.87852,1307,64,766,313,1002,4404,4949,6.837607,826,936,13.058036,"213011333",42.076504,1626
2050,6307,2897,1483,1319,64.40463,53.79035,651,"St Albans - North",4062,41.951218,15240,108,7614,2757,7626,47.892212,39.291466,1379,12356,56.500725,74.64148,2859,56.320816,2134,66,860,488,1169,6049,6959,4.2172523,1242,1565,8.188022,"213011334",47.208122,2069
1298,4123,2470,1374,1082,76.06112,69.640144,365,"Altona North",3136,56.24037,10672,87,5467,1973,5205,62.421024,44.606415,749,8080,70.477684,85.07391,2097,69.38119,1784,60,730,306,900,3957,5606,3.97351,686,1510,8.040666,"213021343",48.731644,1277
1277,4015,3113,1566,552,88.169365,83.07692,490,"Airlie - Whitsundays",3540,69.7729,8861,148,4294,1885,4567,80.46007,81.89533,634,7884,78.499275,90.927315,1995,84.3861,1814,77,891,579,1088,3869,6653,18.117647,707,425,26.811594,"312031359",77.28706,1386
1914,5490,2555,1252,1120,64.22587,56.294964,618,"St Albans - South",3526,41.797283,13174,75,6564,2224,6610,48.472775,40.24713,1346,10761,61.104973,73.99314,2334,56.509617,1727,47,800,456,1106,5271,6081,3.6349576,1133,1293,6.696429,"213011335",45.91382,1810
1271,3739,1927,930,697,66.14068,58.16135,370,"Sunshine North",2473,47.600315,8985,60,4549,1599,4436,52.60715,45.397224,850,7402,64.609375,75.57489,1609,59.443394,1216,32,605,360,827,3663,4400,3.6117382,793,886,8.608321,"213011337",43.52941,1280
2059,3788,2465,889,1911,73.28406,64.467,344,"Beachmere - Sandstone Point",2776,54.20107,11586,169,5887,1379,5699,60.774162,57.76699,630,7844,66.33139,79.590225,1269,66.8154,1010,103,1116,357,1253,4056,5241,5.6253414,618,1831,8.843537,"313011362",54.603176,1889
942,3421,1745,954,468,69.51184,62.721893,303,"Sunshine",2378,54.88323,7480,56,3591,1521,3889,58.26377,46.2406,617,6416,64.28571,76.060936,1838,64.26122,1398,28,517,246,621,2995,4123,4.6979866,532,596,11.965812,"213011336",49.10859,966
1424,3922,2536,1239,442,78.40388,69.063545,474,"Sydenham",3075,60.60393,8919,78,4555,1794,4364,63.100273,49.812733,902,7941,80.41795,85.87963,1728,70.65861,1484,35,863,399,1039,4019,5611,6.529851,801,536,17.647058,"213011339",52.54989,1292
1940,5818,2970,1513,1351,68.73496,60.326954,528,"Sunshine West",3999,47.113403,14340,115,7171,2508,7169,53.08311,42.807323,1211,11413,66.296295,77.40154,2717,61.061947,2103,52,914,491,1253,5595,6969,3.2994924,1147,1576,8.512213,"213011338",43.60033,1890
2876,5997,4197,1336,971,81.357346,72.96559,836,"Taylors Lakes",4879,68.49792,13970,176,7002,1831,6968,69.60199,61.526833,1473,12027,85.25018,85.80715,1846,75.46354,1584,77,1970,814,2283,6030,9076,7.9218106,1323,972,18.125643,"213011340",56.75492,2678
1625,3765,2886,1367,1013,83.32005,77.93615,296,"Altona",3137,68.184616,9957,131,5179,1754,4778,73.56615,57.90441,526,7688,77.42561,89.36799,1693,78.34287,1513,96,1108,315,1197,3923,6023,7.643312,544,1256,12.931886,"213021341",56.273766,1546
2618,6196,4121,1898,1143,77.146545,69.27007,615,"Altona Meadows",4780,60.733383,15140,139,7801,2740,7339,64.50149,53.24927,1158,12585,73.84485,85.25569,2679,70.72706,2284,84,1590,549,1742,6389,8901,5.9490085,1031,1412,12.16098,"213021342",53.108807,2359
2125,5670,4583,2457,772,84.69136,82.866776,441,"Newport",4802,75.10588,13248,117,6806,2965,6442,78.18151,59.715027,830,11532,82.60447,91.44501,2782,81.38224,2544,69,1596,461,1700,5862,9385,7.309322,772,944,15.15544,"213021344",53.13253,2058
667,1634,1120,495,188,79.253365,66.08812,152,"Seabrook",1295,67.316345,3726,25,1904,749,1822,65.84362,58.596493,303,3335,80.0,87.53541,706,72.413795,618,9,449,167,500,1701,2415,4.4334974,285,203,13.297873,"213021345",50.165016,625
2416,4688,3725,1324,1001,81.99659,76.753624,464,"Williamstown",3844,73.2202,11819,215,6130,1725,5689,74.61939,57.22679,961,9680,81.842575,89.537224,1491,78.19215,1335,145,1769,487,1830,4992,7569,12.741652,851,1138,21.478521,"213021346",48.28304,2236
1118,4099,2694,1615,473,77.23835,77.68158,350,"West Footscray - Tottenham",3166,64.13238,8896,60,4324,2079,4572,70.9134,53.322258,662,7898,71.79254,84.13174,2338,74.196,1967,41,717,321,789,3799,5860,7.8095236,602,525,12.684989,"213031351",52.87009,1099
1768,6335,3442,2036,698,68.76085,66.492485,649,"Braybrook",4356,47.34163,13993,62,6960,3062,7033,56.71445,43.179985,1410,12404,63.785046,79.45845,3213,62.866817,2553,34,837,535,1092,6069,7798,3.815937,1239,891,8.882522,"213031347",46.02837,1712
1202,6236,3706,2415,639,72.70686,75.82417,632,"Footscray",4534,57.8203,13129,70,6254,3185,6875,67.35732,48.789238,1241,11738,64.94546,81.18784,3620,70.199356,2939,52,695,544,893,5502,8240,6.9148936,1115,752,10.954617,"213031348",50.926674,1375
1374,4330,3179,1697,454,80.484985,78.601204,440,"Maribyrnong",3485,67.97671,9706,93,4922,2159,4784,71.76072,55.518394,885,8760,79.95169,88.924194,2203,76.07306,1959,50,934,498,993,4430,6664,10.162601,897,492,20.484581,"213031349",49.717514,1242
943,3102,2464,1547,334,81.94713,82.81585,237,"Seddon - Kingsville",2542,71.8982,7049,36,3613,1868,3436,77.95001,60.0,425,6263,78.833694,87.89263,1751,79.92975,1539,29,678,210,730,3161,5006,6.4159293,350,452,10.778443,"213031350",55.764706,926
1637,4816,4014,2294,601,84.11545,83.115944,357,"Yarraville",4051,76.35919,11283,92,5866,2760,5417,79.706116,62.28482,679,9852,82.02175,90.13209,2574,81.86155,2320,72,1250,398,1282,5036,8065,8.674699,639,830,15.30782,"213031352",52.57732,1563
2530,6063,4390,1877,1270,81.098465,71.69595,709,"Bacchus Marsh",4917,66.245056,15182,203,7849,2618,7333,69.36325,60.795937,1262,12392,79.08938,87.64924,2429,75.104904,2129,119,1676,718,1876,6329,9307,7.8289475,1181,1520,15.984252,"213041353",56.180664,2372
2231,6576,4818,2520,563,82.42092,74.95538,765,"Hillside",5420,66.56208,14592,106,7453,3362,7139,69.896996,59.0,1370,13469,81.65569,91.33117,3080,76.01158,2813,46,1485,767,1736,6893,10238,8.214286,1300,560,18.82771,"213041355",55.839417,2126
2261,5634,3426,1475,1124,74.440895,58.34652,611,"Melton",4194,55.727554,13899,168,7141,2528,6758,57.599194,51.1648,1139,11582,71.37529,80.17021,2350,65.79175,1884,98,1260,593,1531,5948,7620,8.214585,1159,1193,14.946619,"213041356",53.643547,2145
2470,6955,4372,2226,1107,75.54278,63.166855,682,"Melton South",5254,55.91093,16600,134,8538,3524,8062,59.8003,51.93622,1323,14266,71.46088,83.54282,3421,67.47511,2858,81,1381,684,1580,7311,9626,6.601467,1317,1227,12.104788,"213041357",51.549507,2211
1858,5228,3515,1763,680,78.72992,65.07937,634,"Melton West",4116,59.79548,12212,114,6304,2709,5908,62.267494,55.10204,1153,10873,76.84463,86.66943,2408,70.18302,2087,47,1111,594,1281,5645,7631,7.132018,1078,659,16.764706,"213041358",54.98699,1667
310,1340,311,124,133,30.597015,29.383886,77,"Rockbank - Mount Cottrell",410,38.064518,2463,11,990,422,1473,35.260773,41.333332,248,2222,47.30539,21.635883,758,32.448246,164,7,118,62,158,882,721,6.4814816,150,108,8.270677,"213041359",31.048388,334
1598,5903,4022,2443,474,80.41674,71.726364,535,"Taylors Hill",4747,63.45432,13039,60,6662,3406,6377,65.98852,49.03758,1154,11998,81.53018,90.63719,3076,73.08718,2788,30,1014,535,1364,6095,8769,5.291005,1091,567,12.658228,"213041360",46.360485,1673
576,1428,928,411,276,77.31092,65.44586,141,"Burnside",1104,60.76389,3598,24,1894,628,1704,61.66113,49.833885,298,2933,77.79784,88.19444,576,69.2806,508,17,350,150,431,1505,2032,4.37018,301,389,8.695652,"213041461",47.315437,554
2342,6103,3753,1585,1205,74.83205,60.151802,648,"Hoppers Crossing - South",4567,60.29035,14864,204,7556,2635,7308,60.231102,50.398724,1306,12334,74.39613,80.19841,2520,67.45581,2021,124,1412,632,1694,6231,8320,9.358491,1254,1325,16.92946,"213051362",49.617153,2277
482,1875,1242,752,108,79.46667,66.60762,174,"Burnside Heights",1490,61.20332,4062,15,2079,1129,1983,62.663975,49.86523,355,3857,80.645164,87.772514,1055,70.83225,926,10,295,185,375,1982,2732,10.309278,371,97,13.888889,"213041462",49.014084,465
2062,6217,4403,2355,525,80.16728,71.86451,579,"Caroline Springs",4984,67.361786,13854,100,7112,3277,6742,67.18035,50.123455,1221,12771,82.57386,88.56285,2999,73.502464,2656,50,1389,609,1649,6554,9387,8.960573,1215,558,19.047619,"213041463",47.420147,1997
734,3232,1743,1119,228,74.876236,66.21302,325,"Laverton",2420,52.861034,6640,29,3180,1690,3460,60.041336,44.050106,619,6135,68.94244,83.11897,1866,67.85656,1551,25,388,211,515,2903,4163,9.02527,479,277,12.719298,"213051363",52.50404,747
2400,10775,6822,4441,651,80.95592,65.19378,914,"Tarneit",8723,62.5,23245,99,11819,6812,11426,61.754322,45.61308,1948,21822,79.67033,90.15633,6461,71.23545,5825,44,1500,837,1885,11047,15545,5.699482,1835,772,15.207374,"213051365",46.919918,2366
1310,8342,4165,3019,304,71.90122,63.584667,509,"Truganina",5998,56.25954,15975,56,7329,4748,8646,59.338936,39.542145,1253,15361,68.534485,78.62032,5697,66.16106,4479,29,737,380,954,7019,10163,9.354838,961,310,18.421053,"213051366",40.622505,1392
1486,3475,2376,988,848,80.66187,67.997246,354,"Werribee - South",2803,63.122475,8894,157,4571,1453,4323,66.25767,57.805256,636,7061,77.691765,83.77997,1418,73.34655,1188,76,938,374,1104,3586,5179,7.715736,647,985,18.51415,"213051368",55.660378,1421
